,0
0,-2788.473455804866
1,-328.26595535711385
2,0.0
3,0.0
4,0.0
5,0.0
6,2749.2915928412694
7,-2566.9887887272052
8,21051.882856615586
9,-5402.7390221825335
10,-1271.2854892734904
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,10370.076116176555
57,-231.6607935212087
58,0.0
59,0.0
60,0.0
61,0.0
